	(持股天数：33,	盈利(元):-0.45,	收益：-8.79%,	年化收益：-62.86%)
	(持股天数：62,	盈利(元):-0.42,	收益：-8.86%,	年化收益：-33.73%)
	(持股天数：28,	盈利(元):-0.01,	收益：-0.25%,	年化收益：-2.09%)
	(持股天数：153,	盈利(元):-0.12,	收益：-3.22%,	年化收益：-4.96%)
	(持股天数：17,	盈利(元):0.04,	收益：1.11%,	年化收益：15.38%)
	(持股天数：28,	盈利(元):0.15,	收益：4.59%,	年化收益：38.66%)
总持股天数：401,	总盈利(元):-0.66,	总收益：-11.82%,	总年化收益：-6.96%

0600026: 
	(持股天数：63,	盈利(元):-0.34,	收益：-6.09%,	年化收益：-22.83%)
	(持股天数：72,	盈利(元):0.86,	收益：20.14%,	年化收益：66.02%)
	(持股天数：18,	盈利(元):1.01,	收益：16.83%,	年化收益：220.70%)
	(持股天数：21,	盈利(元):1.26,	收益：21.50%,	年化收益：241.64%)
	(持股天数：29,	盈利(元):1.17,	收益：19.90%,	年化收益：161.93%)
	(持股天数：42,	盈利(元):-0.25,	收益：-3.29%,	年化收益：-18.46%)
	(持股天数：119,	盈利(元):-0.37,	收益：-5.69%,	年化收益：-11.29%)
	(持股天数：25,	盈利(元):0.38,	收益：7.35%,	年化收益：69.38%)
	(持股天数：43,	盈利(元):0.54,	收益：9.82%,	年化收益：53.89%)
	(持股天数：50,	盈利(元):2.43,	收益：48.60%,	年化收益：229.39%)
总持股天数：482,	总盈利(元):6.69,	总收益：206.82%,	总年化收益：101.26%

0600027: 
	(持股天数：28,	盈利(元):0.16,	收益：4.03%,	年化收益：33.97%)
	(持股天数：78,	盈利(元):-0.70,	收益：-16.06%,	年化收益：-48.58%)
	(持股天数：139,	盈利(元):-0.48,	收益：-12.44%,	年化收益：-21.11%)
	(持股天数：29,	盈利(元):-0.02,	收益：-0.53%,	年化收益：-4.33%)
	(持股天数：24,	盈利(元):0.31,	收益：7.91%,	年化收益：77.76%)
	(持股天数：139,	盈利(元):0.05,	收益：1.49%,	年化收益：2.53%)
	(持股天数：80,	盈利(元):1.17,	收益：32.50%,	年化收益：95.87%)
	(持股天数：16,	盈利(元):1.16,	收益：26.85%,	年化收益：396.06%)
总持股天数：533,	总盈利(元):1.65,	总收益：40.01%,	总年化收益：17.71%

0600028: 
	(持股天数：25,	盈利(元):0.36,	收益：5.72%,	年化收益：54.03%)
	(持股天数：94,	盈利(元):-1.13,	收益：-16.54%,	年化收益：-41.54%)
	(持股天数：25,	盈利(元):0.23,	收益：4.62%,	年化收益：43.60%)
	(持股天数：23,	盈利(元):0.12,	收益：2.55%,	年化收益：26.20%)
	(持股天数：7,	盈利(元):-0.11,	收益：-2.62%,	年化收益：-88.30%)
	(持股天数：8,	盈利(元):0.05,	收益：1.23%,	年化收益：36.15%)
	(持股天数：50,	盈利(元):0.02,	收益：0.46%,	年化收益：2.18%)
总持股天数：232,	总盈利(元):-0.46,	总收益：-6.26%,	总年化收益：-6.36%

0600029: 
	(持股天数：122,	盈利(元):-3.29,	收益：-32.54%,	年化收益：-62.95%)
	(持股天数：88,	盈利(元):0.29,	收益：4.38%,	年化收益：11.75%)
	(持股天数：85,	盈利(元):-0.27,	收益：-4.59%,	年化收益：-12.75%)
	(持股天数：89,	盈利(元):-0.04,	收益：-0.65%,	年化收益：-1.71%)
	(持股天数：25,	盈利(元):0.76,	收益：12.26%,	年化收益：115.72%)
总持股天数：409,	总盈利(元):-2.55,	总收益：-25.07%,	总年化收益：-14.47%

0600030: 
	(持股天数：147,	盈利(元):-1.60,	收益：-8.88%,	年化收益：-14.26%)
	(持股天数：32,	盈利(元):2.65,	收益：12.84%,	年化收益：94.69%)
	(持股天数：77,	盈利(元):0.86,	收益：4.11%,	年化收益：12.61%)
	(持股天数：97,	盈利(元):1.43,	收益：6.48%,	年化收益：15.76%)
	(持股天数：60,	盈利(元):-0.63,	收益：-3.01%,	年化收益：-11.86%)
总持股天数：413,	总盈利(元):2.71,	总收益：10.54%,	总年化收益：6.02%

0600031: 
	(持股天数：57,	盈利(元):-0.03,	收益：-0.35%,	年化收益：-1.46%)
	(持股天数：29,	盈利(元):1.71,	收益：12.30%,	年化收益：100.11%)
	(持股天数：50,	盈利(元):3.81,	收益：24.74%,	年化收益：116.77%)
	(持股天数：140,	盈利(元):-5.33,	收益：-18.33%,	年化收益：-30.90%)
总持股天数：276,	总盈利(元):0.16,	总收益：14.01%,	总年化收益：11.98%

0600033: 
	(持股天数：50,	盈利(元):-0.06,	收益：-1.99%,	年化收益：-9.38%)
	(持股天数：33,	盈利(元):-0.04,	收益：-1.28%,	年化收益：-9.17%)
	(持股天数：20,	盈利(元):0.20,	收益：6.45%,	年化收益：76.13%)
	(持股天数：54,	盈利(元):-0.03,	收益：-1.09%,	年化收益：-4.75%)
	(持股天数：62,	盈利(元):0.27,	收益：10.76%,	年化收益：40.95%)
	(持股天数：61,	盈利(元):-0.17,	收益：-6.14%,	年化收益：-23.74%)
	(持股天数：19,	盈利(元):0.03,	收益：1.13%,	年化收益：14.01%)
	(持股天数：108,	盈利(元):0.21,	收益：7.34%,	年化收益：16.05%)
总持股天数：407,	总盈利(元):0.41,	总收益：14.97%,	总年化收益：8.68%

0600035: 
	(持股天数：130,	盈利(元):-2.07,	收益：-38.98%,	年化收益：-70.77%)
	(持股天数：14,	盈利(元):0.28,	收益：10.00%,	年化收益：168.57%)
	(持股天数：15,	盈利(元):0.38,	收益：10.61%,	年化收益：167.00%)
	(持股天数：26,	盈利(元):0.37,	收益：12.63%,	年化收益：114.62%)
	(持股天数：24,	盈利(元):0.15,	收益：4.97%,	年化收益：48.84%)
	(持股天数：194,	盈利(元):0.29,	收益：9.76%,	年化收益：11.88%)
	(持股天数：49,	盈利(元):0.19,	收益：5.96%,	年化收益：28.69%)
	(持股天数：18,	盈利(元):0.25,	收益：7.74%,	年化收益：101.48%)
总持股天数：470,	总盈利(元):-0.16,	总收益：9.98%,	总年化收益：5.01%

0600036: 
	(持股天数：56,	盈利(元):-0.35,	收益：-1.13%,	年化收益：-4.77%)
	(持股天数：61,	盈利(元):3.18,	收益：12.03%,	年化收益：46.53%)
	(持股天数：25,	盈利(元):2.97,	收益：11.67%,	年化收益：110.16%)
	(持股天数：35,	盈利(元):2.36,	收益：6.68%,	年化收益：45.04%)
	(持股天数：12,	盈利(元):-0.36,	收益：-1.02%,	年化收益：-20.02%)
	(持股天数：122,	盈利(元):-1.97,	收益：-5.38%,	年化收益：-10.41%)
	(持股天数：91,	盈利(元):4.95,	收益：10.43%,	年化收益：27.04%)
总持股天数：402,	总盈利(元):10.78,	总收益：36.46%,	总年化收益：21.40%

0600037: 
	(持股天数：56,	盈利(元):-0.87,	收益：-8.44%,	年化收益：-35.56%)
	(持股天数：21,	盈利(元):1.03,	收益：12.29%,	年化收益：138.13%)
	(持股天数：24,	盈利(元):-0.70,	收益：-6.43%,	年化收益：-63.27%)
	(持股天数：53,	盈利(元):-0.40,	收益：-4.26%,	年化收益：-18.95%)
	(持股天数：66,	盈利(元):0.92,	收益：10.85%,	年化收益：38.79%)
	(持股天数：129,	盈利(元):-2.32,	收益：-19.30%,	年化收益：-35.31%)
	(持股天数：14,	盈利(元):0.38,	收益：5.06%,	年化收益：85.30%)
总持股天数：363,	总盈利(元):-1.96,	总收益：-13.44%,	总年化收益：-8.74%

0600038: 
	(持股天数：18,	盈利(元):1.19,	收益：3.00%,	年化收益：39.29%)
	(持股天数：55,	盈利(元):1.85,	收益：4.91%,	年化收益：21.06%)
	(持股天数：90,	盈利(元):9.88,	收益：26.44%,	年化收益：69.33%)
	(持股天数：188,	盈利(元):5.95,	收益：13.20%,	年化收益：16.58%)
	(持股天数：42,	盈利(元):-6.89,	收益：-11.92%,	年化收益：-66.98%)
	(持股天数：35,	盈利(元):16.51,	收益：33.03%,	年化收益：222.69%)
	(持股天数：28,	盈利(元):-8.64,	收益：-12.74%,	年化收益：-107.39%)
	(持股天数：102,	盈利(元):-0.17,	收益：-0.34%,	年化收益：-0.78%)
总持股天数：558,	总盈利(元):19.68,	总收益：57.59%,	总年化收益：24.36%

0600039: 
	(持股天数：48,	盈利(元):-0.09,	收益：-2.37%,	年化收益：-11.68%)
	(持股天数：26,	盈利(元):0.78,	收益：25.16%,	年化收益：228.39%)
	(持股天数：111,	盈利(元):0.31,	收益：9.09%,	年化收益：19.33%)
	(持股天数：20,	盈利(元):0.26,	收益：8.12%,	年化收益：95.87%)
	(持股天数：69,	盈利(元):0.69,	收益：18.60%,	年化收益：63.61%)
	(持股天数：44,	盈利(元):0.59,	收益：12.77%,	年化收益：68.50%)
	(持股天数：27,	盈利(元):-0.04,	收益：-0.59%,	年化收益：-5.12%)
	(持股天数：34,	盈利(元):1.23,	收益：13.00%,	年化收益：90.25%)
总持股天数：379,	总盈利(元):3.73,	总收益：116.55%,	总年化收益：72.57%

0600048: 
	(持股天数：4,	盈利(元):0.49,	收益：3.20%,	年化收益：189.08%)
	(持股天数：150,	盈利(元):-2.14,	收益：-14.76%,	年化收益：-23.22%)
	(持股天数：28,	盈利(元):0.88,	收益：7.46%,	年化收益：62.91%)
